date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:28:13	150580/-1	---M--	200	added ('OK')	text/html	etag:W/%227922fb2a2a7f10197e50361850226a3a--gzip%22	https://www.denebtalents.org/	C:/My%20Web%20Sites/https___www.denebtalents.org_04/www.denebtalents.org/index.html	(from )
10:28:15	0/0	---M--	301	error ('Moved%20Permanently')	image/png	date:Mon,%2004%20Mar%202024%2009:28:15%20GMT	http://static1.squarespace.com/static/6124dc288ff5567e0de5f52e/t/6124e4e9300e736165b42680/1629807849670/The+Talents+Raw+File-01.png?format=1500w	C:/My%20Web%20Sites/https___www.denebtalents.org_04/static1.squarespace.com/static/6124dc288ff5567e0de5f52e/t/6124e4e9300e736165b42680/1629807849670/The+Talents+Raw+File-0126f7.png	(from https://www.denebtalents.org/)
10:28:15	17408/17408	---M--	200	added ('OK')	text/javascript	date:Mon,%2004%20Mar%202024%2009:28:15%20GMT	http://use.typekit.net/ik/sJQhFBD0T-C--By51doxw-KviA-Go1FQapWajL2SZ1bfeGMIfFHN4UJLFRbh52jhWDjUwRsqjDJt5eZcFQ9hFh93Ze9uZR9kZs7sMkG0jAFu-WsoShFGZAsude80ZkoRdhXCHKoyjamTiY8Djhy8ZYmC-Ao1Oco8if37OcBDOcu8OfG0SaBujW48SagyjhmDjhy8ZYmC-Ao1OcFzdP37O1FajAtlScyzdA4uSkXoZRicO1FUiABkZWF3jAF8OcFzdPUyjamTiY8Djhy8ZYmC-Ao1OcFzdPUyjamTiY8Djhy8ZYmC-Ao1Oco8ifUySkolZPUqZAo8j1sydem0iYw0da41OeUzjhBC-eNDifUDSWmyScmDSeBRZWFR-emqiAUTdcS0jhNlOYFajAtlScyzdA4uSkXoZRicO1FUiABkZWF3jAF8OcFzdPUaiaS0jAFu-WsoShFGZAsude80ZkoRdhXCiaiaOcBRiA8XpWFR-emqiAUTdcS0dcmXOYiaikoySkolZPUaiaS0Zem0ZA4XjAU8d1sDOcNkZkUaiaS0SaBujW48SagyjhmDjhy8ZYmC-Ao1OcFzdPUaiaS0SaiydKuk-eNlj1mDOQ8cFhj0SaBujW48Sagyjh90jhNlJy4yZeNKZPu1jW4ydAN0Zfu3Scv7fbRDFgMMeMb6MKG4fVMXIMMjgkMfH6qJvRbbMg65JMJ7fbRUFgMMegI6MTMgGwPQKbj.js	C:/My%20Web%20Sites/https___www.denebtalents.org_04/use.typekit.net/ik/sJQhFBD0T-C--By51doxw-KviA-Go1FQapWajL2SZ1bfeGMIfFHN4UJLFRbh52jhWDjUwRsqjDJt5eZcFQ9hFh93Ze9uZR9kZs7sMkG0jAFu-WsoShFGZAsude80ZkoRdhXCHKoyjamTiY8Djhy8ZYmC-Ao1Oco8if37OcBDO	(from https://www.denebtalents.org/)
10:28:20	42387/42387	---M--	200	added ('OK')	text/javascript	etag:W/%22848ddcc7a5193f9dbeb177386b6c0dda%22	http://assets.squarespace.com/@sqs/polyfiller/1.6/legacy.js	C:/My%20Web%20Sites/https___www.denebtalents.org_04/assets.squarespace.com/@sqs/polyfiller/1.6/legacy.js	(from https://www.denebtalents.org/)
10:28:22	44226/44226	---M--	200	added ('OK')	text/javascript	etag:W/%221ab383b7e8db1900bbec8b96f354270e%22	http://assets.squarespace.com/universal/scripts-compressed/extract-css-runtime-c9ea572624ccd4964c26-min.en-US.js	C:/My%20Web%20Sites/https___www.denebtalents.org_04/assets.squarespace.com/universal/scripts-compressed/extract-css-runtime-c9ea572624ccd4964c26-min.en-US.js	(from https://www.denebtalents.org/)
10:28:31	117609/117609	---M--	200	added ('OK')	text/javascript	date:Mon,%2031%20Oct%202022%2021:19:57%20GMT	http://assets.squarespace.com/@sqs/polyfiller/1.6/modern.js	C:/My%20Web%20Sites/https___www.denebtalents.org_04/assets.squarespace.com/@sqs/polyfiller/1.6/modern.js	(from https://www.denebtalents.org/)
10:28:40	124621/124621	---M--	200	added ('OK')	text/javascript	etag:W/%2285b875f9fdc87e56b8f63608c90f9fe8%22	http://assets.squarespace.com/universal/scripts-compressed/cldr-resource-pack-a682f7ad337741eb05d6-min.en-US.js	C:/My%20Web%20Sites/https___www.denebtalents.org_04/assets.squarespace.com/universal/scripts-compressed/cldr-resource-pack-a682f7ad337741eb05d6-min.en-US.js	(from https://www.denebtalents.org/)
10:29:02	246078/246078	---M--	200	added ('OK')	text/javascript	etag:W/%22fdec134102ce132bd2f6170c31cbd7a0%22	http://assets.squarespace.com/universal/scripts-compressed/common-vendors-stable-73b8e232ffd5b43ca99e-min.en-US.js	C:/My%20Web%20Sites/https___www.denebtalents.org_04/assets.squarespace.com/universal/scripts-compressed/common-vendors-stable-73b8e232ffd5b43ca99e-min.en-US.js	(from https://www.denebtalents.org/)
10:29:11	40984/40984	---M--	200	added ('OK')	text/javascript	etag:W/%22cf9d9e3525ac5dc11b6227c92efb3e2f%22	http://assets.squarespace.com/universal/scripts-compressed/performance-595641e15dc2776e5ea1-min.en-US.js	C:/My%20Web%20Sites/https___www.denebtalents.org_04/assets.squarespace.com/universal/scripts-compressed/performance-595641e15dc2776e5ea1-min.en-US.js	(from https://www.denebtalents.org/)
10:30:01	1262027/1262027	---M--	200	added ('OK')	text/css	date:Mon,%2004%20Mar%202024%2009:29:14%20GMT	https://static1.squarespace.com/static/versioned-site-css/6124dc288ff5567e0de5f52e/29/5c5a519771c10ba3470d8101/6124e21e4afce5705fca4633/1500/site.css	C:/My%20Web%20Sites/https___www.denebtalents.org_04/static1.squarespace.com/static/versioned-site-css/6124dc288ff5567e0de5f52e/29/5c5a519771c10ba3470d8101/6124e21e4afce5705fca4633/1500/site.css	(from https://www.denebtalents.org/)
